	mass A			
t	x	y	v	
0,000	1,607E−3	0,296	
0,033	6,485E−3	0,295	0,121
0,067	9,559E−3	0,295	0,107
0,100	1,345E−2	0,293	0,140
0,133	1,875E−2	0,293	0,159
0,167	2,391E−2	0,292	0,232
0,200	3,401E−2	0,290	0,273
0,233	4,191E−2	0,289	0,291
0,267	5,318E−2	0,287	0,264
0,300	5,921E−2	0,286	0,363
0,333	7,708E−2	0,284	0,473
0,367	9,036E−2	0,281	0,418
0,400	0,104	0,277	0,482
0,433	0,122	0,275	0,533
0,467	0,139	0,270	0,571
0,500	0,159	0,266	0,674
0,533	0,183	0,262	0,720
0,567	0,205	0,254	0,727
0,600	0,230	0,249	0,834
0,633	0,258	0,237	0,932
0,667	0,288	0,226	1,030
0,700	0,323	0,214	1,114
0,733	0,359	0,206	1,122
0,767	0,397	0,205	1,179
0,800	0,438	0,206	1,113
0,833	0,471	0,213	1,116
0,867	0,509	0,226	1,124
0,900	0,543	0,234	1,023
0,933	0,577	0,234	0,934
0,967	0,605	0,243	0,880
1,000	0,635	0,243	0,942
1,033	0,668	0,241	0,982
1,067	0,700	0,237	0,993
1,100	0,733	0,231	1,044
1,133	0,769	0,225	1,105
1,167	0,805	0,216	1,109
1,200	0,841	0,210	1,144
1,233	0,881	0,205	1,187
1,267	0,920	0,201	1,226
1,300	0,962	0,199	1,273
1,333	1,004	0,195	1,266
1,367	1,046	0,192	1,246
1,400	1,087	0,192	1,274
1,433	1,131	0,192	1,316
1,467	1,175	0,193	1,325
1,500	1,220	0,187	1,327
1,533	1,263	0,184	1,334
1,567	1,308	0,181	1,386
1,600	1,355	0,179	
